,Open,High,Low,Close
2012-02-20,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-02-21,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-02-22,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-02-23,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-02-24,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-02-27,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-02-28,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-02-29,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-03-01,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-03-02,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-03-05,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-03-06,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-03-07,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-03-08,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-03-09,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-03-12,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-03-13,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-03-14,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-03-15,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-03-16,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-03-19,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-03-20,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-03-21,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-03-22,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-03-23,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-03-26,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-03-27,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-03-28,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-03-29,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2012-03-30,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
