,0
2020-05-06,99.54920640033514
2020-05-07,101.09874421473401
2020-05-08,101.78306739499777
2020-05-11,100.46661648465236
2020-05-12,101.23635706116798
2020-05-13,102.39437294540092
2020-05-14,102.97604144241329
2020-05-15,103.99438261878296
2020-05-18,105.45503684754122
2020-05-19,104.95921461023629
2020-05-20,107.37325159453087
2020-05-21,107.56843384707909
2020-05-22,108.49076206428825
2020-05-25,106.81132202380489
2020-05-26,107.91779557578269
2020-05-27,108.72138010060537
2020-05-28,108.11031526549549
2020-05-29,108.87284017203314
2020-06-01,109.44632594889227
2020-06-02,110.57000313292806
2020-06-03,111.38657336082281
2020-06-04,110.79295040302236
2020-06-05,110.87594375584565
2020-06-08,109.030262715172
2020-06-09,109.0754792843948
2020-06-10,108.53611222402449
2020-06-11,109.72435327858203
2020-06-12,111.22966107807892
2020-06-15,111.96767101579793
2020-06-16,109.93521411431755
