,Open,High,Low,Close
2020-05-06,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-05-07,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-05-08,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-05-11,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-05-12,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-05-13,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-05-14,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-05-15,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-05-18,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-05-19,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-05-20,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-05-21,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-05-22,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-05-25,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-05-26,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-05-27,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-05-28,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-05-29,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-06-01,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-06-02,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-06-03,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-06-04,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-06-05,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-06-08,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-06-09,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-06-10,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-06-11,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-06-12,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-06-15,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
2020-06-16,108.40223214196769,110.28097947275036,108.29934566508403,110.2307106216534
